ID,Pos_0,Pos_1,Pos_2,SequenceID,TimeIndex,TransportID
86,0,0,0,0,0,2074
87,0,10.08703804016,-1.1e-05,0,1033,2074
88,0,16.7490234375,0.52874100208,0,1767,2074
89,0,24.74522209167,1.56537997723,0,2500,2074
90,0,0,0,0,3333,2074
135,0,0,0,0,0,2093
136,0,0,66.73496246338,0,4400,2093
137,0,0,66.73496246338,0,6167,2093
138,0,0,0,0,9967,2093
139,0,0,0,0,11933,2093
165,0,0,0,0,0,2565
166,-10.08703804016,0,-1.1e-05,0,1333,2565
167,-16.7490234375,0,0.52874100208,0,2800,2565
168,-24.74522209167,0,1.56537997723,0,4233,2565
169,0,0,0,0,6633,2565
227,0,0,0,0,0,4172
228,0,0,0,0,5000,4172
229,2e-06,-2e-06,-1.75478601456,0,6100,4172
230,5e-06,-5e-06,-5.17665576935,0,6933,4172
231,2e-06,-2e-06,-56.81129455566,0,12867,4172
232,2e-06,-2e-06,-59.84600067139,0,13833,4172
233,2e-06,-2e-06,-61.24431610107,0,15000,4172
234,2e-06,-2e-06,-61.24431610107,0,20000,4172
235,0,0,-59.83320617676,0,21333,4172
236,0,0,-56.73522949219,0,22233,4172
237,0,0,-5.2474899292,0,28133,4172
238,0,0,-1.5850379467,0,28800,4172
239,0,0,0,0,30033,4172
240,0,0,0,0,0,4173
241,0,0,0,0,5000,4173
242,0,0,1.20113801956,0,5900,4173
243,0,0,4.69025278091,0,6667,4173
244,-3e-06,2e-06,32.5509223938,0,10567,4173
245,-3e-06,2e-06,53.46751785278,0,13100,4173
246,-3e-06,2e-06,59.58481216431,0,14067,4173
247,-3e-06,2e-06,61.49812698364,0,15000,4173
248,-3e-06,2e-06,61.49812698364,0,20000,4173
249,-3e-06,2e-06,59.54929733276,0,21000,4173
250,-3e-06,2e-06,54.27323150635,0,21800,4173
251,-3e-06,2e-06,29.10910987854,0,25267,4173
252,0,0,8.59119319916,0,27933,4173
253,0,0,1.96855294704,0,28967,4173
254,0,0,0,0,30000,4173
21641,0,0,0,0,0,128970
21642,0,0,0,0,1333,128970
21643,0.44312798977,0.53655898571,-11.74922561646,0,3333,128970
21644,0.44312798977,0.53655898571,-11.74922561646,0,4667,128970
21645,0,0,0,0,6667,128970
42747,0,0,0,0,0,85556
42748,0,0,0,162,1700,85556
42749,0,0,-43.16333007813,162,3000,85556
42750,0,0,-44.01521682739,162,3167,85556
42751,0,0,-44.48985671997,164,3300,85556
42752,0,0,-44.54657745361,162,8300,85556
42753,0,0,-43.88921356201,162,8600,85556
42754,0,0,-0.5648059845,162,9733,85556
42755,0,0,-0.18055599928,162,9867,85556
42756,0,0,-0.00575099979,164,10000,85556
42757,0,0,0,164,13333,85556
42758,0,0,0,164,0,4170
42759,0,0,0,162,5000,4170
42760,2e-06,-2e-06,-1.75478601456,162,6100,4170
42761,5e-06,-5e-06,-5.17665576935,162,6933,4170
42762,2e-06,-2e-06,-56.81129455566,162,12867,4170
42763,2e-06,-2e-06,-59.84600067139,162,13833,4170
42764,2e-06,-2e-06,-61.24431610107,164,15000,4170
42765,2e-06,-2e-06,-61.24431610107,162,20000,4170
42766,0,0,-59.83320617676,162,21333,4170
42767,0,0,-56.73522949219,162,22233,4170
42768,0,0,-5.2474899292,162,28133,4170
42769,0,0,-1.5850379467,162,28800,4170
42770,0,0,0,162,30033,4170
42771,0,0,0,164,0,4171
42772,0,0,0,162,5000,4171
42773,0,0,1.20113801956,162,5900,4171
42774,0,0,4.69025278091,162,6667,4171
42775,0,3e-06,32.5509223938,162,10567,4171
42776,0,3e-06,53.46751785278,162,13100,4171
42777,0,3e-06,59.58481216431,162,14067,4171
42778,0,3e-06,61.49812698364,164,15000,4171
42779,0,3e-06,61.49812698364,162,20000,4171
42780,0,3e-06,59.54929733276,162,21000,4171
42781,0,3e-06,54.27323150635,162,21800,4171
42782,0,3e-06,29.10910987854,162,25267,4171
42783,0,0,8.59119319916,162,27933,4171
42784,0,0,1.96855294704,162,28967,4171
42785,0,0,0,162,30000,4171
43472,0,0,0,164,0,80023
43473,0,0,0,162,6667,80023
43474,-3e-06,0,-98.74785614014,162,11000,80023
43475,0.00651000021,0,-99.67160797119,162,11233,80023
43476,0.00444199983,0,-99.9719543457,162,11400,80023
43477,0.0028919999,0,-100.0799407959,164,11600,80023
43478,-3e-06,0,-100.06108856201,164,11667,80023
43479,-3e-06,0,-100.08206176758,164,11700,80023
43480,-3e-06,0,-100.08206176758,164,21667,80023
43481,-3e-06,0,-100.08968353272,162,21767,80023
43482,-3e-06,0,-99.66770172119,162,21900,80023
43483,0,0,-1.18016195297,162,26333,80023
43484,1.7e-05,3e-06,-0.32815900445,162,26467,80023
43485,0,0,-0.04359300062,162,26600,80023
43486,0,0,0,162,26667,80023
43487,0,0,0,0,0,80022
43488,0,0,0,0,6600,80022
43489,-0.00406900002,0.00355400005,-0.79714602232,0,6833,80022
43490,0,0,-3.62975001335,0,7000,80022
43491,0,0,-12.07966136932,0,7233,80022
43492,0,0,-11.7315568924,0,7333,80022
43493,0,0,-12.07966136932,0,7433,80022
43494,0,0,-11.91869068146,0,7500,80022
43495,0,0,-12.07966136932,0,7600,80022
43496,0,0,-12.07966136932,0,25667,80022
43497,0,0,-12.02459430695,0,25867,80022
43498,0,0,-11.76745319366,0,26000,80022
43499,0,0,-0.28281998634,0,26567,80022
43500,0,0,-0.04130699858,0,26633,80022
43501,0,0,0,0,26667,80022
58505,0,0,0,0,0,184330
58506,0,0,0.00786499958,0,4333,184330
58507,0,0,0.01580199972,0,4367,184330
58508,0,0,0.03937999904,0,4400,184330
58509,0,0,0.07847599685,0,4433,184330
58510,0,0,0.13295400143,0,4467,184330
58511,0,0,0.20267699659,0,4500,184330
58512,0,0,0.28752198815,0,4533,184330
58513,0,0,0.38735300303,0,4567,184330
58514,0,0,0.50203299522,0,4600,184330
58515,0,0,0.63144701719,0,4633,184330
58516,0,0,0.77544999123,0,4667,184330
58517,0,0,0.93391400576,0,4700,184330
58518,0,0,1.10670900345,0,4733,184330
58519,0,0,1.29369699955,0,4767,184330
58520,0,0,1.49475705624,0,4800,184330
58521,0,0,1.70974397659,0,4833,184330
58522,0,0,1.93854498863,0,4867,184330
58523,0,0,2.18101406097,0,4900,184330
58524,0,0,2.43702101707,0,4933,184330
58525,0,0,2.70644593239,0,4967,184330
58526,0,0,2.98914289474,0,5000,184330
58527,0,0,3.28498291969,0,5033,184330
58528,0,0,3.59384393692,0,5067,184330
58529,0,0,3.91558909416,0,5100,184330
58530,0,0,4.25008106232,0,5133,184330
58531,0,0,4.59719800949,0,5167,184330
58532,0,0,4.95680189133,0,5200,184330
58533,0,0,5.32876586914,0,5233,184330
58534,0,0,5.71295118332,0,5267,184330
58535,0,0,6.10923576355,0,5300,184330
58536,0,0,6.51748418808,0,5333,184330
58537,0,0,6.93755578995,0,5367,184330
58538,0,0,7.36934089661,0,5400,184330
58539,0,0,7.81268405914,0,5433,184330
58540,0,0,8.26747226715,0,5467,184330
58541,0,0,8.73356056213,0,5500,184330
58542,0,0,9.21082782745,0,5533,184330
58543,0,0,9.69913482666,0,5567,184330
58544,0,0,10.198346138,0,5600,184330
58545,0,0,10.70834827423,0,5633,184330
58546,0,0,11.22899627686,0,5667,184330
58547,0,0,11.76015853882,0,5700,184330
58548,0,0,12.3017168045,0,5733,184330
58549,0,0,12.853515625,0,5767,184330
58550,0,0,13.41545009613,0,5800,184330
58551,0,0,13.98736667633,0,5833,184330
58552,0,0,14.56914424896,0,5867,184330
58553,0,0,15.16065311432,0,5900,184330
58554,0,0,15.76175785065,0,5933,184330
58555,0,0,16.37232589722,0,5967,184330
58556,0,0,16.99222946167,0,6000,184330
58557,0,0,17.62133216858,0,6033,184330
58558,0,0,18.25951004028,0,6067,184330
58559,0,0,18.90662765503,0,6100,184330
58560,0,0,19.56254959106,0,6133,184330
58561,0,0,20.22715187073,0,6167,184330
58562,0,0,20.90029716492,0,6200,184330
58563,0,0,21.58185768127,0,6233,184330
58564,0,0,22.2716999054,0,6267,184330
58565,0,0,22.96969223022,0,6300,184330
58566,0,0,23.6757068634,0,6333,184330
58567,0,0,24.38960647583,0,6367,184330
58568,0,0,25.1112613678,0,6400,184330
58569,0,0,25.8405418396,0,6433,184330
58570,0,0,26.57731628418,0,6467,184330
58571,0,0,27.32145500183,0,6500,184330
58572,0,0,28.0728225708,0,6533,184330
58573,0,0,28.83128547668,0,6567,184330
58574,0,0,29.59672355652,0,6600,184330
58575,0,0,30.36899185181,0,6633,184330
58576,0,0,31.14796638489,0,6667,184330
58577,0,0,32.72550201416,0,6733,184330
58578,0,0,34.32828140259,0,6800,184330
58579,0,0,35.95524978638,0,6867,184330
58580,0,0,37.60535049438,0,6933,184330
58581,0,0,39.27754211426,0,7000,184330
58582,0,0,40.97076416016,0,7067,184330
58583,0,0,42.68397521973,0,7133,184330
58584,0,0,44.41611099243,0,7200,184330
58585,0,0,46.16612625122,0,7267,184330
58586,0,0,47.93297195435,0,7333,184330
58587,0,0,49.71559143066,0,7400,184330
58588,0,0,51.51292800903,0,7467,184330
58589,0,0,54.23425292969,0,7567,184330
58590,0,0,56.98278808594,0,7667,184330
58591,0,0,59.75498580933,0,7767,184330
58592,0,0,62.5472946167,0,7867,184330
58593,0,0,66.29552459717,0,8000,184330
58594,0,0,70.06479644775,0,8133,184330
58595,0,0,79.52476501465,0,8467,184330
58596,0,0,84.24324035645,0,8633,184330
58597,0,0,87.99752044678,0,8767,184330
